"Title","Authors","Description","Rating","ISBN","Issued","shelf_no","section"
"IBM PC Assembly Language and Programming","Peter Abel","This third edition includes major revision of chapters on disk organization and processing. More front-end explanations, full details on use of mouse programming, and expanded material on DOS interrupts are also included. Updated for latest version of DOS and Microsoft Assembler.","Rating not available","ISBN not available",False,19,"B"
"Advanced Graphics in C","Nelson Johnson","Graphics programming. Graphics software design. GRAPHIQ: a prototypical application. Graphics algorithms. Transformations. Edit mode. Text mode. Printing and plotting. Menu design. Locators. Parallel and serial interfacing. Maintenance modes. Graphics documentation. Using the compiler. Linking the toolkit. GRAPHIQ source code listing. GRAPHIQ command syntax. Optimizing using assembler. Making commands accessible. Television graphics.","Rating not available","ISBN not available",False,20,"A"
"Network Simulation Experiments Manual","Emad Aboelela","Network Simulation Experiments Manual, Third Edition, is a practical tool containing detailed, simulation-based experiments to help students and professionals learn about key concepts in computer networking. It allows the networking professional to visualize how computer networks work with the aid of a software tool called OPNET to simulate network function. OPNET provides a virtual environment for modeling, analyzing, and predicting the performance of IT infrastructures, including applications, servers, and networking technologies. It can be downloaded free of charge and is easy to install. The book’s simulation approach provides a virtual environment for a wide range of desirable features, such as modeling a network based on specified criteria and analyzing its performance under different scenarios. The experiments include the basics of using OPNET IT Guru Academic Edition; operation of the Ethernet network; partitioning of a physical network into separate logical networks using virtual local area networks (VLANs); and the basics of network design. Also covered are congestion control algorithms implemented by the Transmission Control Protocol (TCP); the effects of various queuing disciplines on packet delivery and delay for different services; and the role of firewalls and virtual private networks (VPNs) in providing security to shared public networks. Each experiment in this updated edition is accompanied by review questions, a lab report, and exercises. Networking designers and professionals as well as graduate students will find this manual extremely helpful. Updated and expanded by an instructor who has used OPNET simulation tools in his classroom for numerous demonstrations and real-world scenarios. Software download based on an award-winning product made by OPNET Technologies, Inc., whose software is used by thousands of commercial and government organizations worldwide, and by over 500 universities. Useful experimentation for professionals in the workplace who are interested in learning and demonstrating the capability of evaluating different commercial networking products, i.e., Cisco routers. Covers the core networking topologies and includes assignments on Switched LANs, Network Design, CSMA, RIP, TCP, Queuing Disciplines, Web Caching, etc.",5,"9780123852113",True,26,"C"
"Oracle Database 10G: A Beginner'S Guide","Ian Abramson","This book is the gateway to Oracle coverage and will provide the reader with a solid foundation, needed to embark on an Oracle DBA career. While focusing on the latest database, this book will cover the basics and ensure a level starting point for beginning professionals. To better meet the market needs of today, we will be completely reengineering the contents.","Rating not available","9780070587939",True,25,"C"
"Star Schema The Complete Reference","Christopher Adamson","The definitive guide to dimensional design for your data warehouse Learn the best practices of dimensional design. Star Schema: The Complete Reference offers in-depth coverage of design principles and their underlying rationales. Organized around design concepts and illustrated with detailed examples, this is a step-by-step guidebook for beginners and a comprehensive resource for experts. This all-inclusive volume begins with dimensional design fundamentals and shows how they fit into diverse data warehouse architectures, including those of W.H. Inmon and Ralph Kimball. The book progresses through a series of advanced techniques that help you address real-world complexity, maximize performance, and adapt to the requirements of BI and ETL software products. You are furnished with design tasks and deliverables that can be incorporated into any project, regardless of architecture or methodology. Master the fundamentals of star schema design and slow change processing Identify situations that call for multiple stars or cubes Ensure compatibility across subject areas as your data warehouse grows Accommodate repeating attributes, recursive hierarchies, and poor data quality Support conflicting requirements for historic data Handle variation within a business process and correlation of disparate activities Boost performance using derived schemas and aggregates Learn when it's appropriate to adjust designs for BI and ETL tools","Rating not available","9780071744331",False,12,"C"
"Star Schema The Complete Reference","Christopher Adamson","The definitive guide to dimensional design for your data warehouse Learn the best practices of dimensional design. Star Schema: The Complete Reference offers in-depth coverage of design principles and their underlying rationales. Organized around design concepts and illustrated with detailed examples, this is a step-by-step guidebook for beginners and a comprehensive resource for experts. This all-inclusive volume begins with dimensional design fundamentals and shows how they fit into diverse data warehouse architectures, including those of W.H. Inmon and Ralph Kimball. The book progresses through a series of advanced techniques that help you address real-world complexity, maximize performance, and adapt to the requirements of BI and ETL software products. You are furnished with design tasks and deliverables that can be incorporated into any project, regardless of architecture or methodology. Master the fundamentals of star schema design and slow change processing Identify situations that call for multiple stars or cubes Ensure compatibility across subject areas as your data warehouse grows Accommodate repeating attributes, recursive hierarchies, and poor data quality Support conflicting requirements for historic data Handle variation within a business process and correlation of disparate activities Boost performance using derived schemas and aggregates Learn when it's appropriate to adjust designs for BI and ETL tools","Rating not available","9780071744331",True,31,"B"
"Patterns for Effective Use Cases","Steve Adolph, Paul Bramble","Simple, elegant, and proven solutions to the specific problems of writing use cases on real projects, this workbook has 36 specific guidelines that readers can use to measure the quality of their use cases. This is the first book to specifically address use cases with the proven and popular development concept of patterns.",4.5,"9780201721843",False,5,"A"
"Patterns for Effective Use Cases","Steve Adolph, Paul Bramble","Simple, elegant, and proven solutions to the specific problems of writing use cases on real projects, this workbook has 36 specific guidelines that readers can use to measure the quality of their use cases. This is the first book to specifically address use cases with the proven and popular development concept of patterns.",4.5,"9780201721843",False,11,"B"
"Patterns for Effective Use Cases","Steve Adolph, Paul Bramble","Simple, elegant, and proven solutions to the specific problems of writing use cases on real projects, this workbook has 36 specific guidelines that readers can use to measure the quality of their use cases. This is the first book to specifically address use cases with the proven and popular development concept of patterns.",4.5,"9780201721843",True,18,"A"
"Computer Graphics","Jeffrey J. McConnell","Computer Graphics & Graphics Applications",2.5,"9780763722500",True,8,"E"
"Computer Graphics","Jeffrey J. McConnell","Computer Graphics & Graphics Applications",2.5,"9780763722500",True,22,"C"
"WEB TECHNOLOGY","N. P. GOPALAN, T. A. ADIKESAVAN","This well-received book, now in its second edition, incorporates a new chapter on PHP as Chapter 13 based on the readers’ demand in todays world PHP which is an important web programming technology. This text provides students with a comprehensible introduction to the programming and scripting languages currently used to create Web sites and Web applications—the main aim being to teach the programming concepts of various Web technologies and the fundamentals needed to program on the Internet. The book emphasises the underlying fundamentals of Web page development and prepares students to build real-world, industrial strength Web-based applications, and use a wide variety of Web development tools effectively and efficiently. Students are introduced to the concepts of Internet Protocols, Java networking, JavaScript, VBScript and PHP. The material presented on Java network programming contains an elaborate description with examples to help the reader clearly understand the networking concepts. The book is intended as a text for students of Computer Science and Engineering, Information Technology, and Master of Computer Applications. Key Features • Presents well-designed material on HTML, DHTML, XML and PHP with many practical exercises. • Explains the development of servlets with simple examples. • Explores the programming features of JSPs. • Introduces the elements of ASPs with worked-out exercises. • Includes Review Questions and Objective Type Questions at the end of each chapter.","Rating not available","9788120350069",False,22,"D"
"Basic Math and Pre-Algebra Workbook For Dummies","Mark Zegarelli","When you have the right math teacher, learning math can be painless and even fun! Let Basic Math and Pre-Algebra Workbook For Dummies teach you how to overcome your fear of math and approach the subject correctly and directly. A lot of the topics that probably inspired fear before will seem simple when you realize that you can solve math problems, from basic addition to algebraic equations. Lots of students feel they got lost somewhere between learning to count to ten and their first day in an algebra class, but help is here! Begin with basic topics like interpreting patterns, navigating the number line, rounding numbers, and estimating answers. You will learn and review the basics of addition, subtraction, multiplication, and division. Do remainders make you nervous? You’ll find an easy and painless way to understand long division. Discover how to apply the commutative, associative, and distributive properties, and finally understand basic geometry and algebra. Find out how to: Properly use negative numbers, units, inequalities, exponents, square roots, and absolute value Round numbers and estimate answers Solve problems with fractions, decimals, and percentages Navigate basic geometry Complete algebraic expressions and equations Understand statistics and sets Uncover the mystery of FOILing Answer sample questions and check your answers Complete with lists of ten alternative numeral and number systems, ten curious types of numbers, and ten geometric solids to cut and fold, Basic Math and Pre-Algebra Workbook For Dummies will demystify math and help you start solving problems in no time!","Rating not available","9780470417492",True,22,"B"
"The Elements of Computing Systems","Noam Nisan, Shimon Schocken","A textbook with a hands-on approach that leads students through the gradual construction of a complete and working computer system including the hardware platform and the software hierarchy. In the early days of computer science, the interactions of hardware, software, compilers, and operating system were simple enough to allow students to see an overall picture of how computers worked. With the increasing complexity of computer technology and the resulting specialization of knowledge, such clarity is often lost. Unlike other texts that cover only one aspect of the field, The Elements of Computing Systems gives students an integrated and rigorous picture of applied computer science, as its comes to play in the construction of a simple yet powerful computer system. Indeed, the best way to understand how computers work is to build one from scratch, and this textbook leads students through twelve chapters and projects that gradually build a basic hardware platform and a modern software hierarchy from the ground up. In the process, the students gain hands-on knowledge of hardware architecture, operating systems, programming languages, compilers, data structures, algorithms, and software engineering. Using this constructive approach, the book exposes a significant body of computer science knowledge and demonstrates how theoretical and applied techniques taught in other courses fit into the overall picture. Designed to support one- or two-semester courses, the book is based on an abstraction-implementation paradigm; each chapter presents a key hardware or software abstraction, a proposed implementation that makes it concrete, and an actual project. The emerging computer system can be built by following the chapters, although this is only one option, since the projects are self-contained and can be done or skipped in any order. All the computer science knowledge necessary for completing the projects is embedded in the book, the only pre-requisite being a programming experience. The book's web site provides all tools and materials necessary to build all the hardware and software systems described in the text, including two hundred test programs for the twelve projects. The projects and systems can be modified to meet various teaching needs, and all the supplied software is open-source.","Rating not available","9780262257923",False,12,"D"
"Computer Graphics and Geometric Modelling","Max K. Agoston","Possibly the most comprehensive overview of computer graphics as seen in the context of geometric modelling, this two volume work covers implementation and theory in a thorough and systematic fashion. Computer Graphics and Geometric Modelling: Implementation and Algorithms, covers the computer graphics part of the field of geometric modelling and includes all the standard computer graphics topics. The first part deals with basic concepts and algorithms and the main steps involved in displaying photorealistic images on a computer. The second part covers curves and surfaces and a number of more advanced geometric modelling topics including intersection algorithms, distance algorithms, polygonizing curves and surfaces, trimmed surfaces, implicit curves and surfaces, offset curves and surfaces, curvature, geodesics, blending etc. The third part touches on some aspects of computational geometry and a few special topics such as interval analysis and finite element methods. The volume includes two companion programs.","Rating not available","9781846281082",True,10,"A"
"Introduction to Wireless and Mobile Systems","Dharma P. Agrawal, Qing-An Zeng","This text explains the general principles of how wireless systems work, how mobility is supported, what the underlying infrastructure is and what interactions are needed among different functional components. Designed as a textbook appropriate for undergraduate or graduate courses in Computer Science (CS), Computer Engineering (CE), and Electrical Engineering (EE), Introduction to Wireless and Mobile Systems third edition focuses on qualitative descriptions and the realistic explanations of relationships between wireless systems and performance parameters. Rather than offering a thorough history behind the development of wireless technologies or an exhaustive list of work being carried out, the authors help CS, CE, and EE students learn this exciting technology through relevant examples such as understanding how a cell phone starts working as soon as they get out of an airplane. Important Notice: Media content referenced within the product description or the product text may not be available in the ebook version.","Rating not available","9781133008590",True,23,"A"
"Internet and Intranet Engineering","Daniel Minoli","An authoritative primer on Internet technology, protocols and applications. This text explains the contributing technologies in accessible terms, outlining emerging dierctions and surveying the imminent next generation technologies. Topics covered include: HTML;Java; TCP/IPng; legal issues; Online sevices; Intranet; the future of the Internet and more.","Rating not available","ISBN not available",True,19,"C"
"Building the Internet of Things with IPv6 and MIPv6","Daniel Minoli","""If we had computers that knew everything there was to knowabout things—using data they gathered without any help fromus—we would be able to track and count everything, and greatlyreduce waste, loss, and cost. We would know when things neededreplacing, repairing or recalling, and whether they were fresh orpast their best. The Internet of Things has the potential to changethe world, just as the Internet did. Maybe even more so."" —Kevin Ashton, originator of the term, Internet of Things An examination of the concept and unimagined potentialunleashed by the Internet of Things (IoT) with IPv6 andMIPv6 What is the Internet of Things? How can it help my organization?What is the cost of deploying such a system? What are the securityimplications? Building the Internet of Things with IPv6 andMIPv6: The Evolving World of M2M Communications answers thesequestions and many more. This essential book explains the concept and potential that theIoT presents, from mobile applications that allow home appliancesto be programmed remotely, to solutions in manufacturing and energyconservation. It features a tutorial for implementing the IoT usingIPv6 and Mobile IPv6 and offers complete chapter coverage thatexplains: What is the Internet of Things? Internet of Things definitions and frameworks Internet of Things application examples Fundamental IoT mechanisms and key technologies Evolving IoT standards Layer 1/2 connectivity: wireless technologies for the IoT Layer 3 connectivity: IPv6 technologies for the IoT IPv6 over low power WPAN (6lowpan) Easily accessible, applicable, and not overly technical,Building the Internet of Things with IPv6 and MIPv6 is animportant resource for Internet and ISP providers,telecommunications companies, wireless providers, logisticsprofessionals, and engineers in equipment development, as well asgraduate students in computer science and computer engineeringcourses.","Rating not available","9781118647134",True,10,"D"
"Web Scraping with Python","Ryan Mitchell","If programming is magic then web scraping is surely a form of wizardry. By writing a simple automated program, you can query web servers, request data, and parse it to extract the information you need. The expanded edition of this practical book not only introduces you web scraping, but also serves as a comprehensive guide to scraping almost every type of data from the modern web. Part I focuses on web scraping mechanics: using Python to request information from a web server, performing basic handling of the server's response, and interacting with sites in an automated fashion. Part II explores a variety of more specific tools and applications to fit any web scraping scenario you're likely to encounter. Parse complicated HTML pages Develop crawlers with the Scrapy framework Learn methods to store data you scrape Read and extract data from documents Clean and normalize badly formatted data Read and write natural languages Crawl through forms and logins Scrape JavaScript and crawl through APIs Use and write image-to-text software Avoid scraping traps and bot blockers Use scrapers to test your website","Rating not available","9781491985526",True,16,"E"
"Foundations of Atlas","Laurence Moroney","There is huge interest in Ajax and Atlas. This book will demystify the technology and show people how to apply it. First book to be published on this revolutionary new technology. Written by an experienced .NET author working in close collaboration with the Atlas development team",4.5,"9781430201755",True,6,"A"
"Upgrading and Repairing PCs","Scott Mueller","Access to 3 hours of troubleshooting videos as well as PDFs of previous editions are available through product registration—see instructions in back pages of your eBook. For more than 25 years, Upgrading and Repairing PCs has been the world’s #1 guide to PC hardware: The single source for reliable information on how PCs work, troubleshooting and fixing problems, adding hardware, optimizing performance, and building new PCs. This 22nd edition offers beefed-up coverage of the newest hardware innovations and maintenance techniques, plus more than two hours of new video. Scott Mueller delivers practical answers about PC processors, mother-boards, buses, BIOSes, memory, SSD and HDD storage, video, audio, networks, Internet connectivity, power, and much more. You’ll find the industry’s best coverage of diagnostics, testing, and repair—plus cutting-edge discussions of improving PC performance via overclocking and other techniques. Mueller has taught thousands of professionals in person and millions more through his books and videos—nobody knows more about keeping PCs running perfectly. Whether you’re a professional technician, a small business owner trying to save money, or a home PC enthusiast, this is the only PC hardware book you need! NEW IN THIS EDITION The newest processors, including Intel’s latest Core i Haswell processors and AMD’s Kaveri core processors. Everything you need to know about the latest GPU technology from NVIDIA and AMD, including developments in OpenGL, DirectX, and Mantle. New firmware innovations like the InSyde BIOS, Back to BIOS buttons, and all the updated settings available for the newest processors and chipsets. The latest in updated home networking standards, from blazing fast 802.11ac Wi-Fi to HomeGrid and G.hn powerline networking. Ever larger storage, thanks to new technologies like helium-filled hard disks, shingled magnetic recording, and Cfast and XQD for flash memory. Emerging interfaces such as mSATA, USB 3.1, and M.2 Updated coverage of building PCs from scratch—from choosing and assembling hardware through BIOS setup and troubleshooting","Rating not available","9780134057699",True,28,"E"
"Introducing Systems Analysis and Design","Barry Lee","Description not available","Rating not available","ISBN not available",True,11,"D"
"System Analysis, Design, and Development","Charles S. Wasson","Written in a practical, easy to understand style, this text provides a step-by-step guide to System Analysis and Engineering by introducing concepts, principles, and practices via a progression of topical, lesson oriented chapters. Each chapter focuses on specific aspects of system analysis, design, and development, and includes definitions of key terms, examples, author's notes, key principles, and challenging exercises that teach readers to apply their knowledge to real world systems. Concepts and methodologies presented can be applied by organizations in business sectors such as transportation, construction, medical, financial, education, aerospace and defense, utilities, government, and others, regardless of size. An excellent undergraduate or graduate-level textbook in systems analysis and engineering, this book is written for both new and experienced professionals who acquire, design, develop, deploy, operate, or support systems, products, or services.",3,"9780471728238",True,7,"B"
"Java 2: The Complete Reference, Fifth Edition","Herbert Schildt","This book is the most complete and up-to-date resource on Java from programming guru, Herb Schildt -- a must-have desk reference for every Java programmer.","Rating not available","9780072228588",True,16,"D"
"Principles of Interactive Computer Graphics","William M. Newman, Robert F. Sproull","Description not available","Rating not available","ISBN not available",True,3,"E"
"Computer World 4","Collins Learning","Computer World (Revised Edition), a series of eight books for Classes 1 to 8, familiarizes students with the latest trends in computer technology. This is a well- graded course that conforms to the latest syllabus requirements of various boards. This revised edition builds on the strengths of the course while ensuring that the subject is updated to meet curriculum requirements. The end-of-chapter exercises have been expanded to support revision of the chapters. As with the previous edition, Worksheets and Projects have been interspersed within chapters for reinforcement of the concepts learnt. Although the series continues to be based on Windows 2007 and MS Office 2010, a few changes have been introduced based on feedback from teachers and students across the country who have used this course. Popular features such as Assessments, posters and National Cyber Olympiad papers have been retained.","Rating not available","9789390279586",False,30,"A"
"Introduction to Computers in Education for Elementary and Middle School Teachers","David G. Moursund","SUMMARY: An introduction to computers, computer programs and programming, educational programs, and hoe computers may be used in the classroom.","Rating not available","ISBN not available",True,17,"A"
"CRYPTOGRAPHY AND INFORMATION SECURITY","V. K. PACHGHARE","This thoroughly revised and well-organised book is in its second edition, continues to present the principles, techniques, design and implementation of cryptography and information security algorithms, with a perfect balance in the presentation of theoretical and practical aspects. To provide the mathematical background required to understand the principles of cryptography and information security, the text explains all the relevant theorems such as Fermat’s theorem and Euler’s theorem. The book gives a clear analysis of various encryption methods and cipher techniques. In addition, various security measures, for example, firewalls and virtual private network, and web security, are also discussed. This edition includes the topics with new innovations and improvements in the field of cryptography and information security in a substantial and comprehensive way. In this edition, the effort is taken to improve the pedagogy and user friendliness. It incorporates many solved numerical problems to clarify the various concepts and different algorithms and also includes MCQs with their answers in each chapter. The book is intended for the undergraduate and postgraduate students of computer science and engineering (B.Tech./M.Tech.), undergraduate and postgraduate students of computer science (B.Sc./M.Sc. Computer Science), and information technology (B.Sc./M.Sc. IT) and the students of Master of Computer Applications (MCA). KEY FEATURES Covers the latest topic of computer forensics and the areas in which they can be applied. Gives algorithms with numerical explanations. Provides a large number of solved problems.",3,"9788120350823",True,10,"E"
"EJB 3 in Action","Reza Rahman, Michael Remijan, Debu Panda, Ryan Cuprak","Summary Building on the bestselling first edition, EJB 3 in Action, Second Edition tackles EJB 3.2 head-on, through numerous code samples, real-life scenarios, and illustrations. This book is a fast-paced tutorial for Java EE 6 business component development using EJB 3.2, JPA 2, and CDI. Besides covering the basics of EJB 3.2, this book includes in-depth EJB 3.2 internal implementation details, best practices, design patterns, and performance tuning tips. Purchase of the print book includes a free eBook in PDF, Kindle, and ePub formats from Manning Publications. About the Book The EJB 3 framework provides a standard way to capture business logic in manageable server-side modules, making it easier to write, maintain, and extend Java EE applications. EJB 3.2 provides more enhancements and intelligent defaults and integrates more fully with other Java technologies, such as CDI, to make development even easier. EJB 3 in Action, Second Edition is a fast-paced tutorial for Java EE business component developers using EJB 3.2, JPA, and CDI. It tackles EJB head-on through numerous code samples, real-life scenarios, and illustrations. Beyond the basics, this book includes internal implementation details, best practices, design patterns, performance tuning tips, and various means of access including Web Services, REST Services, and WebSockets. Readers need to know Java. No prior experience with EJB or Java EE is assumed. What's Inside Fully revised for EJB 3.2 POJO persistence with JPA 2.1 Dependency injection and bean management with CDI 1.1 Interactive application with WebSocket 1.0 About the Authors Debu Panda, Reza Rahman, Ryan Cuprak, and Michael Remijan are seasoned Java architects, developers, authors, and community leaders. Debu and Reza coauthored the first edition of EJB 3 in Action. Table of Contents PART 1 OVERVIEW OF THE EJB LANDSCAPE What's what in EJB 3 A first taste of EJB PART 2 WORKING WITH EJB COMPONENTS Building business logic with session beans Messaging and developing MDBs EJB runtime context, dependency injection,and crosscutting logic Transactions and security Scheduling and timers Exposing EJBs as web services PART 3 USING EJB WITH JPA AND CDI JPA entities Managing entities JPQL Using CDI with EJB 3 PART 4 PUTTING EJB INTO ACTION Packaging EJB 3 applications Using WebSockets with EJB 3 Testing and EJB","Rating not available","9781638352990",True,20,"C"
"Multimedia Learning","Richard E. Mayer","Although verbal learning offers a powerful tool, Mayer explores ways of going beyond the purely verbal. Recent advances in graphics technology and information technology have prompted new efforts to understand the potential of multimedia learning as a means of promoting human understanding. In this second edition, Mayer includes double the number of experimental comparisons, 6 new principles - signalling, segmenting, pertaining, personalization, voice and image principles. The 12 principles of multimedia instructional design have been reorganized into three sections - reducing extraneous processing, managing essential processing and fostering generative processing. Finally an indication of the maturity of the field is that the second edition highlights boundary conditions for each principle research-based constraints on when a principle is likely or not likely to apply. The boundary conditions are interpreted in terms of the cognitive theory of multimedia learning, and help to enrich theories of multimedia learning.","Rating not available","9780521514125",False,29,"B"
"Deep Learning","Josh Patterson, Adam Gibson","How can machine learning--especially deep neural networks--make a real difference in your organization? This hands-on guide not only provides practical information, but helps you get started building efficient deep learning networks. The authors provide the fundamentals of deep learning--tuning, parallelization, vectorization, and building pipelines--that are valid for any library before introducing the open source Deeplearning4j (DL4J) library for developing production-class workflows. Through real-world examples, you'll learn methods and strategies for training deep network architectures and running deep learning workflows on Spark and Hadoop with DL4J.","Rating not available","9781491914236",False,13,"D"
"The Internet of Things","Pethuru Raj, Anupama C. Raman","As more and more devices become interconnected through the Internet of Things (IoT), there is an even greater need for this book,which explains the technology, the internetworking, and applications that are making IoT an everyday reality. The book begins with a discussion of IoT ""ecosystems"" and the technology that enables them, which includes: Wireless Infrastructure and Service Discovery Protocols Integration Technologies and Tools Application and Analytics Enablement Platforms A chapter on next-generation cloud infrastructure explains hosting IoT platforms and applications. A chapter on data analytics throws light on IoT data collection, storage, translation, real-time processing, mining, and analysis, all of which can yield actionable insights from the data collected by IoT applications. There is also a chapter on edge/fog computing. The second half of the book presents various IoT ecosystem use cases. One chapter discusses smart airports and highlights the role of IoT integration. It explains how mobile devices, mobile technology, wearables, RFID sensors, and beacons work together as the core technologies of a smart airport. Integrating these components into the airport ecosystem is examined in detail, and use cases and real-life examples illustrate this IoT ecosystem in operation. Another in-depth look is on envisioning smart healthcare systems in a connected world. This chapter focuses on the requirements, promising applications, and roles of cloud computing and data analytics. The book also examines smart homes, smart cities, and smart governments. The book concludes with a chapter on IoT security and privacy. This chapter examines the emerging security and privacy requirements of IoT environments. The security issues and an assortment of surmounting techniques and best practices are also discussed in this chapter.","Rating not available","9781498761291",False,23,"C"
